REQ-ID,Description (Summary),Priority,Verification Method,Design Ref,Notes / Acceptance Criteria
REQ-1.1,Demonstrate reduction of CSV lead times by 70-80% for GAMP 5 Cat 4-5 systems,High,Demo timing measurement & comparison,"FS-4.3.3, FS-5.1",Generate full suite in <10 minutes vs. typical manual 3-6 months (caveated in disclaimer)
REQ-1.2,"Incorporate advantages over generic LLMs (determinism, ALCOA+ trails, propagation)",High,Side-by-side comparison & audit trail review,"FS-5.4, FS-4.2.2, FS-4.4.2",Outputs reproducible on identical inputs; trail logs changes with reason/old-new values
REQ-3.1,Support Administrator role for uploading SOPs/WIs (read-only for users),High,Manual test: upload & verify read-only access,FS-3.1,Admin can add/delete; users see but cannot modify
REQ-3.2,"Support User role for document generation, querying, uploading approved PDFs",High,End-to-end workflow test,FS-3.2,User can complete questionnaire -> generate -> upload -> see propagation
REQ-3.3,Simplified authentication (name entry + session UUID),Medium,Load app and verify name captured in trail,FS-3.3,Name appears in audit trail entries; UUID persists on refresh (localStorage)
REQ-4.1.1,"Main UI with Valhender mascot, Query field, Response field, Project Setup sidebar",High,Visual inspection & navigation test,FS-4.1.1,Layout matches Fig 1; sidebar highlights on click
REQ-4.1.2,Valhender text-only communication with animation (glowing nodes like Mr. Clippy),Medium,Interaction test,FS-4.1.2,Animates on response; no audio; responses â‰¤1000 chars or paginated
REQ-4.1.3,Loading popup for user name; interface greyed until entered,Medium,App launch test,FS-4.1.3,Popup disappears after name entry; name used in trail & docs
REQ-4.1.4,"Initial Valhender response with selectable options (Introduction, About, Disclaimer, Generate)",High,Click each option & verify response,FS-4.1.4,Options in bubble style; hover lights; Go Back restores initial screen
REQ-4.2.1,Project Setup sidebar with navigable titles; highlight & display in Workflow tab,High,Navigation test,FS-4.2.1,Clicking title updates Workflow/Validation tab
REQ-4.2.2,"Workflow tabs: Validation, History (chat log), Session Audit Trail (ALCOA+ table)",High,Generate actions & review trail,FS-4.2.2,"Table includes Timestamp, User ID, Action, Record ID, Field, Old/New, Reason; CSV export"
REQ-4.2.3,Admin upload of SOP/WI PDFs; docs generated consistent with them,Medium,Upload PDF -> generate doc -> inspect content,FS-4.2.3,Generated text references or aligns with uploaded SOP/WI content
REQ-4.3.1,"Multi-screen questionnaire with progress bar, Next/Back/Save, save/resume via UUID",High,Complete partial session -> resume,FS-4.3.1,Progress bar updates; resume loads previous answers; Save persists in browser
REQ-4.3.2,"Questions cover project context, system details, GxP functions, GAMP category, etc.",High,Review questionnaire flow,FS-4.3.2,All required fields marked *; tooltips on technical terms; decision tree for GAMP/specs
REQ-4.3.3,Generate living docs sequentially on OK; show status (amber dots/ticks/arrows),High,Generate suite -> verify all docs appear,FS-4.3.3,Docs: Risk Assess -> VP -> URS -> FRS(+specs) -> CS -> SOP -> SAT -> IOQ -> RTM -> VSR
